iter	Passed	Remaining
0	1	153
1	2	142
2	4	133
3	5	122
4	6	122
5	7	119
6	8	117
7	10	115
8	11	114
9	12	112
10	13	110
11	14	108
12	15	106
13	17	105
14	18	103
15	19	103
16	20	102
17	22	100
18	23	99
19	24	99
20	26	98
21	27	97
22	28	96
23	30	96
24	31	94
25	32	93
26	34	92
27	35	91
28	37	90
29	38	89
30	39	88
31	41	87
32	42	86
33	43	85
34	45	84
35	46	82
36	47	81
37	49	80
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	55	71
44	57	69
45	58	68
46	59	67
47	61	66
48	62	64
49	63	63
50	64	62
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	105	20
84	106	18
85	108	17
86	109	16
87	111	15
88	112	13
89	113	12
90	115	11
91	116	10
92	117	8
93	118	7
94	120	6
95	121	5
96	122	3
97	124	2
98	125	1
99	126	0
