iter	RMSE
0	14.48288304
1	14.10450297
2	13.75521755
3	13.39138698
4	13.05371583
5	12.75624228
6	12.45077287
7	12.18111203
8	11.89589471
9	11.61623692
10	11.32998339
11	11.08921663
12	10.83839481
13	10.6003816
14	10.36190825
15	10.11929127
16	9.910953721
17	9.702668667
18	9.499047174
19	9.310121992
20	9.16962096
21	9.000421869
22	8.844523374
23	8.676243482
24	8.526098058
25	8.38630217
26	8.253781137
27	8.125753043
28	8.007146642
29	7.885066867
30	7.783685515
31	7.676200455
32	7.568509309
33	7.471828462
34	7.363318728
35	7.266926405
36	7.176147295
37	7.102594655
38	7.02305075
39	6.950958901
40	6.870367229
41	6.79242498
42	6.722982699
43	6.664793057
44	6.601276964
45	6.545419099
46	6.484448184
47	6.428488082
48	6.373355815
49	6.323124238
50	6.276635241
51	6.234194801
52	6.186920865
53	6.14305064
54	6.097612094
55	6.061869657
56	6.020275531
57	5.989740425
58	5.956483673
59	5.925845032
60	5.897642061
61	5.867273795
62	5.837797976
63	5.808213899
64	5.778189623
65	5.750776775
66	5.726499081
67	5.700628144
68	5.675571432
69	5.648502795
70	5.628039957
71	5.605420306
72	5.588479511
73	5.568869282
74	5.553841129
75	5.537117251
76	5.521127423
77	5.501743483
78	5.481955834
79	5.464782751
80	5.450477791
81	5.43960285
82	5.423301901
83	5.410336002
84	5.396724101
85	5.383443002
86	5.370703866
87	5.360162579
88	5.347062125
89	5.335687871
90	5.327291886
91	5.318304597
92	5.30724762
93	5.297779423
94	5.289633793
95	5.277509004
96	5.267788535
97	5.259505016
98	5.253106665
99	5.240584566
100	5.233308482
101	5.225541061
102	5.216553593
103	5.20784455
104	5.200774446
105	5.195110629
106	5.186595495
107	5.180138188
108	5.174337738
109	5.166919227
110	5.1596801
111	5.153593727
112	5.14881088
113	5.144331523
114	5.135151614
115	5.129169768
116	5.121714149
117	5.116247936
118	5.11118286
119	5.103790802
120	5.096303826
121	5.091804532
122	5.083199037
123	5.078218092
124	5.072481389
125	5.0668582
126	5.062181177
127	5.058191076
128	5.054584408
129	5.050604402
130	5.045959273
131	5.040810872
132	5.031332415
133	5.026428598
134	5.021782041
135	5.016939851
136	5.013071769
137	5.005585882
138	4.999679741
139	4.996303545
140	4.992000145
141	4.986403165
142	4.980256126
143	4.973520398
144	4.96912397
145	4.963603976
146	4.958251252
147	4.955318594
148	4.949551436
149	4.946171257
150	4.941602549
151	4.940111415
152	4.937946171
153	4.934546101
154	4.928423945
155	4.924026455
156	4.918544584
157	4.912958841
158	4.909662898
159	4.9031679
160	4.897498475
161	4.894782567
162	4.89108418
163	4.887497673
164	4.881304518
165	4.875620448
166	4.872768132
167	4.869201069
168	4.861969648
169	4.85997435
170	4.856676065
171	4.854766363
172	4.852655633
173	4.848860494
174	4.848167791
175	4.841439073
176	4.837330076
177	4.832866355
178	4.830464905
179	4.827662918
180	4.824142486
181	4.819211136
182	4.814855328
183	4.811858327
184	4.809797456
185	4.804465593
186	4.80089318
187	4.793491181
188	4.788851526
189	4.785477952
190	4.782503614
191	4.779717564
192	4.777185725
193	4.773357457
194	4.768244893
195	4.765913657
196	4.762623424
197	4.759799312
198	4.75605763
199	4.750098882
200	4.744717539
201	4.743983217
202	4.740526617
203	4.734852167
204	4.72946632
205	4.726370137
206	4.71974724
207	4.714013766
208	4.713219926
209	4.711989414
210	4.708507765
211	4.704468893
212	4.69972284
213	4.696836826
214	4.695697314
215	4.693024736
216	4.689137124
217	4.688520981
218	4.685578041
219	4.680562704
220	4.674968982
221	4.670715326
222	4.665823319
223	4.662735597
224	4.661039062
225	4.658405021
226	4.655487487
227	4.654996802
228	4.652013391
229	4.649418349
230	4.648573881
231	4.64756389
232	4.645075697
233	4.643053592
234	4.640065506
235	4.639187721
236	4.632487944
237	4.631634943
238	4.62728999
239	4.625004025
240	4.620311576
241	4.614346389
242	4.609857671
243	4.606432663
244	4.600474898
245	4.594187125
246	4.593569829
247	4.591595699
248	4.588650522
249	4.584796618
250	4.579862168
251	4.579432933
252	4.57874405
253	4.577413998
254	4.574723168
255	4.570973244
256	4.566695594
257	4.566022768
258	4.564997349
259	4.559851878
260	4.559147445
261	4.554971219
262	4.552940935
263	4.55004911
264	4.546696499
265	4.544522668
266	4.538695753
267	4.53416411
268	4.530741743
269	4.52611867
270	4.524277906
271	4.519270699
272	4.518645596
273	4.518156827
274	4.514140298
275	4.510296321
276	4.504198156
277	4.501956177
278	4.498451015
279	4.494740533
280	4.490366351
281	4.489544638
282	4.486267979
283	4.480754673
284	4.477328764
285	4.473037565
286	4.469931337
287	4.469591564
288	4.466096719
289	4.460002266
290	4.45555412
291	4.452712253
292	4.449225041
293	4.447596446
294	4.445562756
295	4.441961872
296	4.436055988
297	4.435486444
298	4.433587649
299	4.431374839
300	4.427346559
301	4.42439387
302	4.420599276
303	4.418809122
304	4.415002741
305	4.409047569
306	4.406194815
307	4.405775793
308	4.404385221
309	4.40057807
310	4.394694278
311	4.392253467
312	4.387132134
313	4.381418147
314	4.377921678
315	4.373459732
316	4.370931069
317	4.36522851
318	4.362245844
319	4.358715159
320	4.354941076
321	4.350267779
322	4.345570039
323	4.339706289
324	4.336322964
325	4.331251606
326	4.330841612
327	4.326721385
328	4.324368507
329	4.322070656
330	4.320849593
331	4.316562246
332	4.316256175
333	4.313250358
334	4.309995132
335	4.306481283
336	4.301294493
337	4.297046783
338	4.293844101
339	4.291924411
340	4.289649429
341	4.284662432
342	4.284140475
343	4.281138971
344	4.276879414
345	4.272496067
346	4.270046442
347	4.268016808
348	4.264629952
349	4.261688019
350	4.259350413
351	4.255264543
352	4.251317671
353	4.247401086
354	4.24491493
355	4.243204608
356	4.241734529
357	4.237235774
358	4.236088664
359	4.230092869
360	4.226006305
361	4.222604956
362	4.219967158
363	4.219085392
364	4.216817355
365	4.216513909
366	4.213040006
367	4.208955111
368	4.20724387
369	4.205074344
370	4.203914681
371	4.202153314
372	4.198948909
373	4.197869447
374	4.194442333
375	4.191743035
376	4.189099847
377	4.187334889
378	4.186895608
379	4.183350589
380	4.180652409
381	4.176663858
382	4.174989884
383	4.173678089
384	4.169628255
385	4.166778632
386	4.165265508
387	4.163755065
388	4.160299823
389	4.158766129
390	4.158389369
391	4.156461576
392	4.155814976
393	4.154362165
394	4.151177099
395	4.14999474
396	4.149533472
397	4.148160469
398	4.143964329
399	4.143719837
400	4.143381514
401	4.143184801
402	4.139892269
403	4.139119544
404	4.137219905
405	4.133153471
406	4.132568599
407	4.129058846
408	4.127271215
409	4.124806519
410	4.121459134
411	4.118737497
412	4.118378558
413	4.118206618
414	4.115783142
415	4.113046144
416	4.108696983
417	4.104882844
418	4.101100147
419	4.098235163
420	4.095183161
421	4.092801852
422	4.087344856
423	4.083053263
424	4.081450627
425	4.080381959
426	4.075940712
427	4.068989292
428	4.067409345
429	4.067228069
430	4.064963579
431	4.061726578
432	4.059939524
433	4.054230888
434	4.049424262
435	4.045371843
436	4.045187752
437	4.042163672
438	4.039784765
439	4.036889125
440	4.033569203
441	4.027882457
442	4.025062911
443	4.020889273
444	4.020339092
445	4.01726419
446	4.016800401
447	4.013425082
448	4.012928028
449	4.010917145
450	4.006829036
451	4.00380367
452	4.003501239
453	4.001220068
454	3.999146965
455	3.997632047
456	3.996406432
457	3.992991533
458	3.988502654
459	3.984683095
460	3.982412543
461	3.980770464
462	3.980284032
463	3.975950496
464	3.973823381
465	3.968845921
466	3.967933415
467	3.965419791
468	3.964511358
469	3.963695014
470	3.96345743
471	3.961738304
472	3.959215281
473	3.95512879
474	3.952789839
475	3.949183134
476	3.947593245
477	3.946239185
478	3.944537769
479	3.942076397
480	3.941937689
481	3.937257321
482	3.934323623
483	3.933628416
484	3.930385379
485	3.926242097
